qid,query,truth_ids,retrieved_ids,mrr,recall@1,recall@3,recall@5,recall@10,recall@30,lat_embed_ms,lat_retrieve_ms,lat_total_ms
q001,What is Retrieval-Augmented Generation (RAG) and what are the main stages of its pipeline?,['rag_overview_definition_and_pipeline.md#0'],"['4aa315819ad74c4a3d3658886d86365065cf04f3', 'b423989e728900b5bbf2d451527dd4b059cbad31', '6696f84576da60fa550d4888e31e2ba8975a4af1', '7070eb6ab0c630157f5524500ef96d45c6e57611', 'b5f253e6e2e716034a97ce34d09d3d72b24ca1d8', '7e4378b63bc4a3093ffcfa6d5c61f90cea7567df', '9bca6bc9ea8233a17b7070a1ea7ad9f1bd7f122b', '0fc0b95da0d8fc60c22155f7876808c1162b15fb', '67bfd9994fe629a2b564b8b680a7d9b8d8fcc6ef', 'e79838ef98318c8decf09fcd7b72656376b1e878', '6623d76ccfbe6a2528f605e595bdc124faae06c7', 'a30d6d78a33ece33a46290e29aa8cf1c76a1777d', 'd854805c3ef55b92c419e10d958a13447995deb9', 'fe2cea66a3bf53541c59183b9e3fca72ca6f75a0', '06b9624646d20d7c029288a20e1430712340ae5a', 'd3d1c15cfc4c6782b964ee67743f2fbb80133a4f', '236d8febbb5726907a9304d2b841ec52edbf1201', '1170ed2a51e9f23e320992ecd2c617ff9289132d', '9ae9af360e3a3864edf74b6e7a4cc846ae0a4c1f', '8bbc5dc7bfd7341a8487ebd00faae969e15c2fdc', '447f0ae18f1b1a890c24462088ec7dfa90a527e0', '5accc96f15a9dbcea3b1a4293cdbe0623c0e7ea2', 'cfa72ae5ed85e0251892ebbf53e139bf367446da', '40149dfecc7c4d34a7c1e0df0a6123e52c5662ff', 'c1d5db5f7a87c9f2021ae6db4e9d73e976423e21', 'f282840fb3007cc642a10d5750fdb250504c91de', '53b0b479dea8b9b55683453a7901b146b4057ff2', '04a7913451f912afeba5303f3570c7783911937d', '051ed324a873e1c1934516f5c8400c2d7a232659', '828dcb9e174563b783fd82e192e472d353f1e3b3']",0.0,0.0,0.0,0.0,0.0,0.0,94.7290831245482,30.761457979679108,125.49062515608966
q002,How does RAG differ from pure generation and pure retrieval systems?,['rag_overview_definition_and_pipeline.md#0'],"['b423989e728900b5bbf2d451527dd4b059cbad31', '4aa315819ad74c4a3d3658886d86365065cf04f3', '4345aae610c74ddd2d859b0cda545564e634014d', '57825f39a724d848f77cd3a062d798d540b77f31', 'bfb7f6c35948651ae87c100e55b4b5b295d99c39', '62e7f6eb812c5aeca8ca4cceffd3533f06a0f0d0', '9c4c8f94f1e9f71c74a2179b7c62b6397eeff526', '7070eb6ab0c630157f5524500ef96d45c6e57611', '24cd5173f2510a0c1cf66bce3fe17f0c33e66bba', '20153b2a452c05132decc07c66f6d0318713737e', '111ea0d586c5b9d8736388a4b091f6d74af9359c', 'f38664819d73920340e465ecf5700ae7a4c01fb7', 'ba96e6cf542129842245e687eb781cbf4a5b46a3', 'f67c73e75303e4a0a906bed7877327b7fbc241f4', '0fc0b95da0d8fc60c22155f7876808c1162b15fb', '93a8213c3e83639f8eb009de9e0b7c48d84b720e', '42146705d5767504dd01191b26b2c37d05019c0f', 'd6f1b4057735379b91c039b49de935f057560555', '803a60448f7eadf1a78d507c587cdf9b9e2037bc', '39c8807faebbdabdc77ad387417bc60f7dc27fb9', '1c43431f4dd97bed039ad9d9f98ccc5be3662bb1', '78cb0d7ef359c30d6b7914a67f9dbee5fce82b18', '8d8df2d1cabe291f1d25fe83031f55497d078c85', 'dd7078e8c8e580049bb2df319b8f6b58cf0d0832', '9bca6bc9ea8233a17b7070a1ea7ad9f1bd7f122b', 'd283fbc9fe9928b9bf408b27d1f9ca55f7e000f8', '25e17cd822b88abe5bc3ff9cc92c6eb61e0ce6de', 'f6756a19ee3414652533bc489cfc4799a947b206', '8df90c71f823248d6c3af863c80140a9fca5a1f5', '84af410e05ab4c102aae5e14e5ca5dfb3793f206']",0.0,0.0,0.0,0.0,0.0,0.0,80.02266706898808,7.480875123292208,87.50370820052922
q003,What are common failure modes in RAG systems?,['rag_retrieval_vs_generation_failure_modes.md#0'],"['4aa315819ad74c4a3d3658886d86365065cf04f3', '0fc0b95da0d8fc60c22155f7876808c1162b15fb', '6623d76ccfbe6a2528f605e595bdc124faae06c7', 'e79838ef98318c8decf09fcd7b72656376b1e878', 'a30d6d78a33ece33a46290e29aa8cf1c76a1777d', 'd6f1b4057735379b91c039b49de935f057560555', '4345aae610c74ddd2d859b0cda545564e634014d', '57825f39a724d848f77cd3a062d798d540b77f31', '42146705d5767504dd01191b26b2c37d05019c0f', 'b423989e728900b5bbf2d451527dd4b059cbad31', '1c43431f4dd97bed039ad9d9f98ccc5be3662bb1', 'ab3c9d48200ef4f7b5874fbf21123b48ac6c387c', '803a60448f7eadf1a78d507c587cdf9b9e2037bc', 'd790611f4f29296de8e29094abd2a789fdf038d9', 'ebaa0ef172ddfd2ed48b84c617b2f971b626e105', '32f26b14eeb23a305e4a609b624c782256fcba4c', 'f67c73e75303e4a0a906bed7877327b7fbc241f4', 'afce7c644d14627ba1f1dcc44945345d51180c08', '62e7f6eb812c5aeca8ca4cceffd3533f06a0f0d0', '542ee15a5a9c6b5d9b87ee611c986e818deb776e', '93a8213c3e83639f8eb009de9e0b7c48d84b720e', '7780cd358fbc530c55d7e0a1805aa09e02d52303', 'bfb7f6c35948651ae87c100e55b4b5b295d99c39', 'd884d95bc4322510bcae48e04cd3f36b9b459238', '3c71eac1532e0a65de81bfc960ca608952d4a73b', '630d4ce92f4ffeff403af528ac96fa396c96447f', '84af410e05ab4c102aae5e14e5ca5dfb3793f206', '111ea0d586c5b9d8736388a4b091f6d74af9359c', '20086b40ce3cedbb27b1a83ee2d7dc82cf6b0ead', 'b71e09aa15f46c9db91d694f30790c1576f7fffc']",0.0,0.0,0.0,0.0,0.0,0.0,25.396457873284817,7.848000153899193,33.24450016953051
q004,Why can RAG still hallucinate and what grounding techniques help reduce hallucinations?,['rag_hallucinations_and_grounding_methods.md#0'],"['42146705d5767504dd01191b26b2c37d05019c0f', 'ab3c9d48200ef4f7b5874fbf21123b48ac6c387c', 'ee8451b3f8b2aa2380267bad25f47329cbb207f3', '084e68fa7856a3285fc8929c628ddebdb14c0414', '4aa315819ad74c4a3d3658886d86365065cf04f3', 'ff08fc41416027c5b41044d423593af787069ecf', '7b2cce7994f5570f89c8ecf43493b6691830c904', '9593460af3a649b0e7a77339e01e3d30c74fc050', 'e704f17ae2900f0a56275e12b5e661e749ee636b', '99d99bde01491cc6f3d88d29ac6c67b9de423676', '5ad504c25849f585542636adfd59fa57350632c5', '7fb2e3e1450434d9b2b8793edd483fae5d9213b6', '8d9b61bc912efcc458fc5f0f28f563ea4d643c1c', '1848e0af571904ab4007a2780e8b0caf22c487d2', '668a6febf55deec7a3e9592d80ab3eba13b62c5d', 'fbc598ca71e67ca36038e94e67b91824197d74be', '2dd82ef7751dcaa77acc958b023640488c6b15a4', '63faf1fddaff1cd53c3ff245f4f8c3c0eb9d9ebe', 'd6e3c5db5b2e7ead603317271d7b32ca770d1768', '92269903491b90f4a05b0209ab23071ef9d9de2a', '6c16dfa9ffe95c5d105f66306ec01b8bbc8de389', '90897d7c079609ad9fd0b16f20506cafeac8bb01', 'd55198c066151585568f7a2124a21d5ac59a9411', '6544cefa7fc6049b010add6f5d4ae2075bdb8700', '029a58af2ef4045f1ddf856596d7eaae4fbe72ca', '3a519c607060494999de1ffd9968303752b5307f', '57befc91d7c1333de74768e4b03606a7bbb5a38d', '9350a54b4f04e087fe48dfe0c702acb342df3c29', '01a489eed954bd41116ca0f70f5e023c6aed7c82', 'e822281bd70279b8e5808112dbde51ba7b7126c6']",0.0,0.0,0.0,0.0,0.0,0.0,21.800792077556252,10.055416030809283,31.856290996074677
q005,How should you budget the context window when building prompts for RAG?,['rag_context_window_budgeting_strategies.md#0'],"['f4f9f7037360430ecce6e280c1d0fad3dd01a22a', 'ef02633e0091d7783c303c38b93331460bdc5456', 'a2c00849613b03932c4484853e8c96b0857892d8', 'fcd7e8c49e73a14984c447591c905f691f40cb0a', 'b560343a4002487a11955c90645138062263df5d', 'c659bbf4adff2087a73aa15a17c241502a019918', '6c2639824e811b9f688a9ab1cb087429f17404e8', '0dcc0f7a1d079a462746187eadab12d25c44554c', '90800a038fbec0bbd8399b2337df3a96b4cab0d3', '54da8a89e5dde3e61093966ae6485455510ca9f4', '9cbfd59b01420795cea9b60b2ce052f3921c5940', '3487ce40938ebdf5d1b4fd60da9f7d83cdac936b', '0ec895ac73ca66fab692dc0c242b1f84b060b39d', 'a51625e64d7bd72d15419e71c524709c140c9f35', '7006d14f92973cdd4bbcb09c2978dd0877d9d200', 'ebaa0ef172ddfd2ed48b84c617b2f971b626e105', '5c8582c97e64a47282503cf7510d46d2cdde1dba', '71635ed4641c83d066927f9861d77ffa519bad0a', 'a116268956c50bd74ccb4e39615f01a4e4afed65', '20086b40ce3cedbb27b1a83ee2d7dc82cf6b0ead', 'd7623647a7fff34800bc3d6640d77dc390f728ae', 'b5e778686e31c73e6ffae824f73f07785998dab2', '39d061db1b8ffd6076bfec3b8690327b13e61608', 'de179c19a08a9605126c74cd114387bcc99f141a', 'ba7443787a1979942dad4133800f936a0c9b1a38', 'cfafbd952a027f77982c39d58a1b63835f42e41b', '32f26b14eeb23a305e4a609b624c782256fcba4c', '7ac3a1f80276b71f6456db4f20a6c83a126c2956', '4aa315819ad74c4a3d3658886d86365065cf04f3', 'db043056f69ff6899740eab54f97935ab4f2ef05']",0.0,0.0,0.0,0.0,0.0,0.0,26.836207835003734,7.4552500154823065,34.29149999283254
q006,What is a standard evaluation protocol for RAG experiments?,['rag_evaluation_overview_metrics_and_protocols.md#0'],"['4aa315819ad74c4a3d3658886d86365065cf04f3', '6403415f80874cc8a19dc3a44da344e466680587', '6cf0f774ad4907073d0762e39596792166a9203a', 'b423989e728900b5bbf2d451527dd4b059cbad31', '68435221fde54bacf98fc151be2a5b4a60f1d5fb', '824a23cecbd5687729bbff8ca71e21121e77958d', '5a9fa078689145c18c06f7427b544ab3ad15722d', 'c904f64130dc927369bd292259b1e37bdd7fafd5', '93a8213c3e83639f8eb009de9e0b7c48d84b720e', 'bfb7f6c35948651ae87c100e55b4b5b295d99c39', 'f67c73e75303e4a0a906bed7877327b7fbc241f4', 'a824df4f595ea2c99669b73a24ff65175750455a', 'b540a7e428e68d7e2602a4c13b3d4cf1e68b28a7', 'a8dd1a33f255a9680f211eb0fe40683dc444db74', '85914f97409c54a2ec899c234d9b73d4f35c1733', '855a45e1291653ca66f6f188cb608f2730c24eb0', 'f38664819d73920340e465ecf5700ae7a4c01fb7', '709811aae6aa73a16b30f2af89329ba8a27451d6', '612565899f0581b735aa5a431342527362bf6971', '46e62d4c1e534b5e9c874400447bd5a3e6dfc1f5', '784dde7d16b060c7bd252774c4d84dac00609ff0', '9c4c8f94f1e9f71c74a2179b7c62b6397eeff526', '3c61a55ff7a00a3877253c9e4a32834e7caf300c', 'ef02014fbee2ba771df8138bd1626e0271c4199d', '42146705d5767504dd01191b26b2c37d05019c0f', '762128da183f4f2933179a6a2d70313480a12c67', 'f89c9f005397cb09d15fce51d6bf435a4d5cd8a4', '68b3bb72464d659f30c751556cfb7a6779de995b', '06b4cc94621e4656cd6b2554aa400d39d478b54d', '111ea0d586c5b9d8736388a4b091f6d74af9359c']",0.0,0.0,0.0,0.0,0.0,0.0,27.74824993684888,8.88345786370337,36.63174994289875
q007,What is Recall@k in information retrieval and how is it interpreted?,['retrieval_recall_at_k_mrr_ndcg_explained.md#0'],"['619e4138155777422c026459874367723b55188d', '5d748aeacb906b3602e35dc5438871c92a536a21', '733cc3cda58157b5f079b39a33408324cee9401b', 'cf4619538941c55c6ccd6d5577748233867656c6', 'e17daef8599c6b7206fce98fc7f35ea159f3a4bf', '68f32654d2285eb89e7bcf1d0a74a9ca8aea3ae0', '6bf857e85ed8ee1256943ad11fb1be8b5c89665e', 'a7375682fd1fad861e6242dcea6b854ebcc41795', '754d12fe70e334806e4c5d769ab7b899d4974c22', 'c686ce00b89fa183a360bf496fa95691ecf9c0ae', 'c53bb2984672724679e0004672c8e27619a5fa34', '7d895678ead08dee10b1b3901fb4b1a8be48cc18', '8d56033021536d1020791a568244855d55c52f43', 'ffb855ae76790069cd0f24f05ef3b25fe0ac42c3', '488a124f23a64ae6e8588f9edc95c9bf3e7f4d68', 'ab20e56946ed163976312f831dadc4feff442f8b', '1909a8beb848f2243b515529e55f55c606251b96', 'b44b0a14783d35b1d2079b8420a788df7152e0be', 'ea9b0e9284e231994b3f291eea83887f15b245e1', '04f70c3857578dbe0c138450a25fe5a9c427f2ab', 'ada6fef2d083e34a01e2f590e83887835d7d92ff', '2f0d702c36846288a4787b627c4416410905dd6d', '6a2a0428a1deb12d530e4ae09ccb2d59afffcbb0', '07327ab4d23b93c4c24874e806a11cce7f4f5c12', '76bc95f7dd0f3628bffc3c8a4da957c3c217dab5', 'f55d653dcb49ca1830be558ff0e310cafdf1c334', '57d5ae4f8ee81b52d2d17e95eb70d40c9396a379', 'c0dd5638d0aaadb59db96e591fc82b829064b40e', 'ad6ee200448759c94ebbf83476308974727bba33', '504a0bbcc1ec00f232d814ad1993fa80d54e0faa']",0.0,0.0,0.0,0.0,0.0,0.0,6.2422920018434525,6.431500194594264,12.673834105953574
q008,What is Mean Reciprocal Rank (MRR) and what does it measure?,['retrieval_recall_at_k_mrr_ndcg_explained.md#0'],"['61e94a52919aa38f802a397b6c27ad1a41091c32', '46e747a560ec59b0c409613528b9bf51f0fbbd21', '4c51e815f4316d96a7b5c99bc12feb32b00d2718', '47bde730b8921251ce3e78cef2a8b7aaa931b1c3', 'aad186b7f88eeb839e857f73dbcd3be17b83a8ed', '1b29601384b2fdbd6a400d04afd8894ac11fdbfb', '3ee61628c45db0202251e8df7e876ac22b361178', '22f06f6ca02e33451108177301781b6838f92e3f', '0747d7d7c00674cda73ded96984e405401874d76', 'cacd1ab98160159e6881faa08a7d3c1328204c05', '6106c571e9c5b1ba8e72e286752e835716f3a5f3', 'eae244630bc7450c3c8d3856e043e26a0af46c8a', 'b8663ec63575f95ca5c2dbacc7dab04f48239c78', 'caef6e4d0fe49e82224dba6c73c3528bc13ab8f4', 'ba9e24d84858a250298ede6811c6e4fdac487bc3', 'f3c9fff8e2d7559ebae6973629822e700d4923fa', '0e92dbc48bd9b1c06c23af8f96da24b18b7e84f0', '7520cd32069e183cf4add580a8ce2a0a82bac91a', '979596d967b3043ef38fe64d9d21e50fccef2fc9', 'fcf4d44ea7b180bf6e1fa7c66542869304c44304', 'f1fef9781e342d3c422ca47ed14a947514064fb1', 'ccc2ef98d7b0488d4f935e71985da71b6a08a277', 'df1be9932b3095f5e3111e4dd342cdb5f2575844', 'cd838f7eeeee1fbeb311f172db3361718d4acb2b', '68b86ca3ee49299693fdf537b145c202a0e230ea', '6bba93643128988ef8f5f7f11f5fb41b037e48bb', 'cfea9a9049c04cecc840b986e083f896f6f9c62d', '74f0b41ac5e504b89605086797eb23d82f6f9fce', '650db31e27a1ea2b51f31f72dcffd7948c2063bd', '79891a8a3eb44ce6ab65ac8011beaa743464cb0c']",0.0,0.0,0.0,0.0,0.0,0.0,23.260083980858326,7.358707953244448,30.618832912296057
q009,What is nDCG and when is it more informative than Recall@k?,['retrieval_recall_at_k_mrr_ndcg_explained.md#0'],"['cc8a64f70122b13f82630e564cf480e889085901', '2bb008438f5ba940ac129f200a38e64796ef7fec', '155af69dc6ccef0bb54077b257d6f4b64c5b6f7e', '849e77c5421bbc76d6e43b4a0a69acd7a6142e27', '5ae132cd58520fffa98c19db94a663598e262b43', '093d3d6748b5e0cf911a781381de390d8493f962', '1ab42a3169b1f6d986e57c9ce10bb91178f41346', '83ed4bb2fdf594c7b1ba4ed922e675d69d9a11d9', 'd25dd85f132a7087d7d54ec470d3e257a191da4a', '2494ad7af7b9e2645830a2791f59d9f68cf00ee4', 'd33acb4e7323d0c7119b6c075129aa46d075da82', 'ebffe89d7321e9a8121cced62080a4f49c7510c6', '5955d8a7e8a9dcc0daa682cf03a16608e1a86c46', '8fc3e133323cbc2b70b4703eb8f28a9a09fa8bd0', '6b1de2eac552ae6cbf00acf275e358d80ae1262d', 'c0348fbd34d151b2e5bbc1a1f1ed489f665722bd', 'a1ff266e8c20f248a4e18fae714b8d0b06079420', '93061c1c2db87a47a5c89bd3793e805aa5937fcc', '02820b3d9d3074edd87f5e0b32e447f72b388c03', '717fe951ede89df6daf1be2df834a7173c77830f', '37b68307435a7cce1bba974a5571953ec077bd33', '0fdb5eaffef99ea210de39a50123833bd6ced0a3', '5b23990ea4af62e1d35bd4adc8cf2379b81b251c', 'cefd8806ef2a91b1df9d8dcecced0eb8490093c6', '59d8c0836d6697d98fb8507b9007923f34ec9370', 'b564e75ca622662b7c5d21547431ef29d0340f58', '26e0b6fcc521e697a15bc74e8fde7970eaf338b1', '5a714e71ff3e64e3bc9dc90719a199907819b613', 'cc96c26902d75761bd59b2579c4d05af37e473d5', '08cfcd090651dc6f142f5db4a15d8113e2242d9f']",0.0,0.0,0.0,0.0,0.0,0.0,22.43104111403227,9.802459040656686,32.2336251847446
q010,What is hybrid search and why combine vector search with BM25?,['retrieval_hybrid_search_vector_plus_bm25.md#0'],"['b89fa332ba4414a3df3d4222996f0b34e64a3dc2', '2f5ce21d69f51f84e98c4e2cc9349126d294320b', '14c02abd612e3906f66e8f4bb17ac097ac1a91b4', 'e2a7b4442001d8ce7dedf941fff0e2080bd249ac', 'f6538d2aeb951db592997dc8c9d516e3c69afacc', 'fad38015457504ffa27690a402e847b755a3cbd4', '63fc1d85fbada5ae0d81dfbf0719aada5fe436a6', '9e24dcdd685205d6e33b8da934a4886475b0fb0e', 'd1bfe50a0306e198c71d2fcf696992c7620d8c80', '777b864b960dc209e8cb3fb92fac6ef70cc22e25', '2a010789230e862432066da641655c584a5d1fe9', '2da751b27a5950ea4754aeb5c636617221ffd88e', '605efc7872fc48686cdc4f64df5873a92efee357', 'cb3c9fa010b74d4c7da47ce4c9d1d1c1e8abff58', 'c7f6f6404d4c40116041b0eff497cbb7b62e492e', 'a7c818122b88ad85393a8e969146c3427133fcd2', '45d3195a8472400a1bb3d71487fac3cc424792bc', '53ca15450b2b7f018755d5ad9626dcd85b2c77d4', 'ba13dc8a09d618c7b598c238a0273257541f490c', 'c05f311ab3c2371cfbb32ac1e056e494ebb6b641', '58556cc839df5a24ee0bf529d5a1b11f029c8b18', '36c52843bafebc4bb8a0a8df6f1487cfd5e618f4', '46859079eb8ec3242a68181a55fb55c7cce1c7b1', 'a0dab783e8206a898739facf56024a844555e576', '7431afdb6f5cd82ce1ef77597aeea9e823ecb780', 'e2ef225fc6003e1347fb783efa951356417c47be', '75838155d888234a65adbb0838a8221990aa5341', '0fb58b0ae8072609bdf3d69ab53cf5a5501ca3ab', '04f419331db490a59d9e37f4493c501d5400fcec', '6433e8fe328bc84cc47d9a600bab821d25c05b6e']",0.0,0.0,0.0,0.0,0.0,0.0,8.728000102564692,7.490374846383929,16.218415927141905
